钱包地址,节点类型,当前等级,membership等级,状态,付费类型,购买金额,购买TX,金库存入(45D+),金库总存入,金库计划,是否激活金库,直推大节点,直推小节点,节点收益,经纪人收益,earnings_capacity,问题标记
0xE62f71A9426AF32C1D0e8d3eCaA34d162859535B,MAX,V0,-,PENDING_MILESTONES,手动调整,6600,-,0,0,-,否,1,0,0.00,0.00,0,正常
0xE7FB7d6Fa56d7D13274FC898a7CCDdc7D7700b9C,MAX,V0,-,PENDING_MILESTONES,手动调整,6600,-,0,0,-,否,1,0,0.00,0.00,0,正常
0xeA7b299ff2B07419b88855305EfbC009b8b29E6C,MAX,V0,-,PENDING_MILESTONES,手动调整,6600,-,0,0,-,否,0,0,0.00,0.00,0,正常
0xEcaB0C0cA01b8a5970Bd993E96f6220c8A4Ff6Dd,MAX,V0,-,PENDING_MILESTONES,手动调整,6600,-,0,0,-,否,0,0,0.00,0.00,0,正常
0x73867557292d251CFB452E4218B0cE098b3d147B,MAX,V0,-,PENDING_MILESTONES,手动调整,6600,-,0,500,-,否,0,0,0.00,0.00,0,正常
0xed5dc33C85db878914AEF833E38852f7B5f48096,MAX,V0,-,PENDING_MILESTONES,手动调整,6600,-,0,0,-,否,3,0,0.00,0.00,0,正常
0x2A56d445bA2aD5Bd9C1Bb592793deA1a3427cD8A,MAX,V0,-,PENDING_MILESTONES,手动调整,6600,-,0,500,-,否,0,0,0.00,0.00,0,正常
0x6efBA7331AEcB1bA9fb2f1f02D9732110749932A,MAX,V0,-,PENDING_MILESTONES,手动调整,6600,-,0,0,-,否,0,0,0.00,0.00,0,正常
0xF32450109df8DFD5748BCaEc62d5B8E396E27557,MAX,V0,-,PENDING_MILESTONES,手动调整,6600,-,0,0,-,否,1,0,0.00,0.00,0,正常
0xF334BAE1Cf0c2E09DF42c1bF2157e9aF0CAE20Ce,MAX,V0,-,PENDING_MILESTONES,手动调整,6600,-,0,0,-,否,1,0,0.00,0.00,0,正常
0x2869D0F1AB14638Fc07017a820235934e0Fa8411,MAX,V0,-,PENDING_MILESTONES,手动调整,0,-,0,0,-,否,2,0,0.00,0.00,0,正常
0x7cB1204E41AC2DfB0Dcd217A1e21FD4e0d9397de,MAX,V0,-,PENDING_MILESTONES,手动调整,6600,-,0,500,-,否,3,0,0.00,0.00,0,正常
0x24A7caE026A43aF6E37D7Df0a3d320349b5Be3B5,MAX,V0,-,PENDING_MILESTONES,手动调整,6600,-,0,500,-,否,0,0,0.00,0.00,0,正常
0xf6bc901922b399a7A893327BC481Af8C4b50838a,MAX,V0,-,PENDING_MILESTONES,手动调整,6600,-,0,0,-,否,1,0,0.00,0.00,0,正常
0xfA02Fb81704e275c3116eE550Ef018bC543587b4,MAX,V0,-,PENDING_MILESTONES,手动调整,6600,-,0,0,-,否,0,0,0.00,0.00,0,正常
0xFb1BEEBaFa8f9EDc951E9b55EbEA72242EC39C84,MAX,V0,-,PENDING_MILESTONES,手动调整,6600,-,0,0,-,否,0,0,0.00,0.00,0,正常
0xFdb40b8204B60B16903fd638febDf62271eB8570,MAX,V0,-,PENDING_MILESTONES,手动调整,6600,-,0,0,-,否,0,0,0.00,0.00,0,正常
0xfDD288d999edC8fa0b2ce94f06984fD9227f7bc7,MAX,V0,-,PENDING_MILESTONES,手动调整,6600,-,0,0,-,否,2,0,0.00,0.00,0,正常
0x05Ae522574A8F535Fa4423F4fd1D06287af7c991,MAX,V0,-,PENDING_MILESTONES,手动调整,6600,-,0,0,-,否,1,0,0.00,0.00,0,正常
0x96289b10Cb10EE4957846994db65F1bA4d8F28b5,MAX,V0,-,PENDING_MILESTONES,手动调整,6600,-,0,0,-,否,0,0,0.00,0.00,0,正常
0xA7f3a00795D9b7c0a6Dc7848205D51AAbE0F6D57,MAX,V0,-,PENDING_MILESTONES,手动调整,6600,-,0,500,-,否,2,0,0.00,0.00,0,正常
